         34239140 function calls (34182977 primitive calls) in 12.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2914    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2109(_push_capture)
     1414    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:16(inc_hits_alpha)
     1574    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:32(inc_stored_cut_off)
      510    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:19(inc_hits_beta)
       12    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:39(swap_move_to_front)
      122    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:478(uci)
      107    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:13(inc_hits_exact)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       13    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:750(pin_mask)
       13    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3368(_ep_skewered)
        9    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:9(set_depth)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:36(inc_checkmates_detected)


